class,area,perimeter,aspect_ratio,circularity,compactness,convexity,hu1,hu2,hu3,hu4,hu5,hu6,hu7
Pongamia_Pinnata_(P9),95671.0,2208.7789668064393,1.2999999959375,0.24642550846869402,0.019609918888363186,0.9320298495739613,0.7555490737814375,2.3038942645118756,4.9447444050804625,5.641347410570196,10.93442772659259,6.874040292061453,12.834456721654073
Pongamia_Pinnata_(P9),28582.0,1357.734198184517,1.0370370322359397,0.19483768684064265,0.015504690480639504,0.8843440593785784,0.7106790771218872,1.9415683586739525,3.6219041265571548,4.4310719344841605,8.480262915934244,5.500082419167682,-8.959148551435815
Pongamia_Pinnata_(P9),52365.0,1854.8073580374355,1.6785714210778062,0.19127286002194788,0.015221010575908588,0.9037329789464865,0.7317658811298046,2.075770598457174,4.093771831139616,4.867775741275658,9.349110174553193,5.9139139471720155,-10.642862170149511
Pongamia_Pinnata_(P9),60678.0,1843.913959755234,0.904761902069161,0.224264130712185,0.01784637248052559,0.903094256486879,0.7537823764663869,2.5192685519502804,3.0763967077400607,4.313731469513378,8.044380904204617,5.621229405061498,8.419086862989678
Pongamia_Pinnata_(P9),90899.0,2238.13935649965,1.3157894693559558,0.22803143549988977,0.01814616507007408,0.9113595347813179,0.7620704642612754,2.4371552951049313,4.068208675146705,6.054541529171537,-11.146137233520514,-7.284275680870441,11.559077318501568
Pongamia_Pinnata_(P9),67414.0,2035.7962107491421,1.3749999946289062,0.2044049258272517,0.016266027168869664,0.8987694481728536,0.765368730558162,2.5123043253509305,3.804743339632498,5.187606170839669,10.054600826356863,7.727313694393033,9.727214367351028
Pongamia_Pinnata_(P9),90373.0,2362.614536606122,1.5675675622717313,0.20345240115430674,0.016190227663811577,0.8823764889583834,0.7460901266206695,2.3171856741863195,3.3130250541116166,4.220091080960472,8.04858952060766,5.527875580043505,8.289273909153701
Pongamia_Pinnata_(P9),123869.0,2740.001404958025,1.3829787197261205,0.20733419006450376,0.016499130610360152,0.9353898433004689,0.7687478144003901,2.5078228417968806,4.819304424733535,5.876231135842614,11.228313100770507,7.130388084353072,12.077080230817465
Pongamia_Pinnata_(P9),72317.0,2193.430770422048,1.5428571373469389,0.18888714496321096,0.015031161403705213,0.9082654073559958,0.7628229212790975,2.4106285734511848,5.760585813764054,6.400690542048049,12.516756512074851,7.609546533044094,-12.892506946705605
Pongamia_Pinnata_(P9),71202.0,2011.7962107491426,1.1621621582359387,0.22107217556628658,0.017592364760726918,0.9128110457173082,0.7888079079013733,3.383773198918868,4.019660597657861,5.785538909670403,12.376612018337433,-7.818118467891858,10.6882298431654
Pongamia_Pinnata_(P9),29196.0,1081.9991334482227,1.4285714200680273,0.3133858570620371,0.024938454123256678,0.9162116361979473,0.7616604560248851,2.4708177395898065,3.455593876444581,4.718249861576216,8.903256421869482,6.096939089445125,9.02494772574446
Pongamia_Pinnata_(P9),45062.0,1605.0367593952085,1.2758620634661118,0.21981147507792648,0.017492041403486477,0.8993154648871552,0.7669495515995983,2.7546873714978832,3.242500571218336,4.829620689574352,8.937896807917177,6.32288852293072,-9.139851287591043
Pongamia_Pinnata_(P9),69067.0,2080.2104243115155,2.2129629527177643,0.20056997466200543,0.015960851451637184,0.913463827523959,0.65538803918883,1.659988271392316,3.18369872789303,3.675974430286123,7.114805848606032,4.556828427137337,7.8016733597169
Pongamia_Pinnata_(P9),73610.0,2089.997220875919,1.1999999957142857,0.21176552756253791,0.016851765244020458,0.9262265171702815,0.7749868770996315,2.6867324355514755,4.181390035102867,6.02435293663014,11.157622112909884,7.500475063305887,-11.569202857860406
Pongamia_Pinnata_(P9),86612.0,2143.4713549618646,1.2564102523833005,0.23689318290257097,0.018851360521858318,0.9223167601890987,0.7760302519639806,2.8643072541703467,3.472002108653147,5.056185639282406,9.563152585920674,6.916370880757815,9.40620061683686
Pongamia_Pinnata_(P9),61987.0,1955.583007313546,1.3142857095918368,0.2036844958619619,0.016208697173805967,0.8979849048820354,0.7805225390258499,3.0323564670201657,3.899640816557369,5.0455811642696835,9.52036154278995,6.58020208372582,-10.519484476066586
Pongamia_Pinnata_(P9),74209.0,2010.5363261193202,1.1351351313002191,0.23069734410935572,0.018358311336587954,0.9264775649713293,0.7845639286965669,2.924515853796371,4.092355338816826,5.761143412626353,10.866836706748998,7.58580521816283,10.813273592153458
Pongamia_Pinnata_(P9),75417.0,2139.9211024301703,1.153846150147929,0.20695865522408796,0.01646924649728245,0.9126188920240977,0.7675525122957528,2.5539252590797457,3.689120543291331,4.788937881409642,9.055362746142613,6.156999981547264,9.491057261727983
Pongamia_Pinnata_(P9),105999.0,2394.798302790195,1.3571428531037415,0.23225964012078412,0.018482634902983745,0.9361140303539065,0.7803387721530015,2.7675808461374545,4.335250685223298,5.96162119064845,11.110472248801763,7.354004656291295,12.469554870861272
Pongamia_Pinnata_(P9),66629.0,1967.3819971867692,1.4848484792240588,0.2163195512086986,0.017214162931142384,0.9200740157570727,0.7670160648144971,2.462471516113101,4.243385778845688,5.63040357730109,10.759508800485927,7.290824063046402,10.682848736186054
Pongamia_Pinnata_(P9),84085.0,2324.519082176617,1.514285708877551,0.1955519545723558,0.015561530100736095,0.924214112981708,0.7508519941177401,2.243125568888199,4.28536740989612,5.455715156282982,10.497406946527263,6.946464704725757,10.457927864161787
Pongamia_Pinnata_(P9),56598.0,1714.1261171703036,1.0706319662801786,0.24206132416655696,0.0192626281362386,0.9152476592293658,0.7889994352198851,3.246544108388067,4.178682936918365,6.34696593400724,11.613914081739823,7.992419841058412,-12.472581942996936
Pongamia_Pinnata_(P9),68555.0,2096.234810929155,1.545454539600551,0.19605103601739557,0.015601245740227858,0.914164177500078,0.7542680920211735,2.3312863600045866,3.6038821352787855,4.74547338489974,8.951530598124384,5.992475761864767,-9.355706436359412
Pongamia_Pinnata_(P9),95678.0,2215.3830432072955,1.578947363227147,0.24497642805837638,0.01949460473324334,0.9204144260187934,0.7648249922274852,2.4547038831081722,3.8145211028519768,5.018396928953352,9.435602146855839,6.2460618638917325,10.667177892522805
Pongamia_Pinnata_(P9),67478.0,2127.5718600252526,1.2432432390430972,0.1873283857924134,0.014907119290144086,0.8892725355707793,0.7562241905719929,2.551074622328944,3.1111594764043544,4.640708920893142,8.940002655189256,7.162045457666974,8.54998172205638
Pongamia_Pinnata_(P9),76479.0,2015.8672785610079,1.558823523680796,0.236498392843984,0.01881994412720449,0.9221559052158661,0.7563014165771575,2.294971939849026,4.8124162912020685,6.3379311977497315,-12.877858826121594,-7.970239726308399,11.915674233284676
Pongamia_Pinnata_(P9),85354.0,2178.4530649986345,1.6764705820717993,0.2260150336317133,0.017985704907784072,0.9248756596170113,0.7161035174007413,1.9438604928698557,4.786087738359626,5.753163454820988,11.054433376325122,6.8438963300214875,-11.456648344464533
Pongamia_Pinnata_(P9),122453.0,2715.7049404017434,1.4015957409532027,0.2086479532254684,0.016603676560919933,0.9158925339128791,0.7764535145001747,2.72101076525565,3.979116313393024,5.2884555456977465,9.924991338355984,6.669856172121552,-10.872336575979462
Pongamia_Pinnata_(P9),131325.0,2983.7831508885456,1.3563829751160028,0.1853628759774012,0.01475070898876667,0.9398415526909573,0.7759543856072916,2.6411068946341807,4.236239325213797,5.902771216107771,10.981811908889002,7.22350584700988,11.655733947464228
Pongamia_Pinnata_(P9),69384.0,1987.5119395016804,1.4999999944852942,0.22072407470376768,0.017564663774244697,0.912575133814989,0.7399613983555035,2.261275215698377,3.0946264768436182,4.064469431547569,7.649740479258284,5.204209296303149,8.436434384327338
Pongamia_Pinnata_(P9),64100.0,1840.8367952889585,1.1111111072530864,0.23770445452861352,0.018915919466595755,0.9144862612931994,0.7914361731312254,3.513555039538534,4.264053444088183,6.187649293760137,11.474759782351637,8.325517074708673,-11.718202409544102
Pongamia_Pinnata_(P9),106001.0,2501.833836696128,1.3333333293650793,0.2128153268838375,0.016935305619640132,0.9327789510653575,0.7694656843075056,2.740338429169622,3.2745872337490547,4.6942502664272965,8.712477966463727,6.126002262881163,9.099215522471706
Pongamia_Pinnata_(P9),45160.0,1692.925107043527,1.4675925857981824,0.19801053880565234,0.015757178017604567,0.9211250943169861,0.7154735522002285,1.961479221850682,3.6469163473008086,4.393041725311206,8.420064719701438,5.38898495421509,9.161001996385929
Pongamia_Pinnata_(P9),103701.0,2477.11810794359,1.7043189312148872,0.21237303828540194,0.01690010941128303,0.9229762805311471,0.7307526767153872,2.0508174801490706,4.495801756502502,5.460596749028822,10.49893072739079,6.64820152944837,-10.746984417360675
Pongamia_Pinnata_(P9),85547.0,2136.655121145938,1.4444444394290124,0.23547553483763836,0.01873854767330898,0.9313164082810996,0.7607689649888543,2.3444097814969416,5.090785039932815,6.650092458552787,-13.975829275141267,-8.476407758818747,12.520798154830066
Pongamia_Pinnata_(P9),108119.0,2407.376946552886,1.399999995625,0.23443566900996066,0.01865579777999535,0.9212829230389216,0.7675871126857186,2.466790792478255,5.477054237847822,7.1729218930588425,-13.809843892268818,-8.483218485783647,-13.556863052149875
Pongamia_Pinnata_(P9),11385.0,879.8975823643079,1.999999979166667,0.18479007857534774,0.014705127219803167,0.8457138611762209,0.6510682599166304,1.6455903384884443,3.272961867277101,3.756221810077226,7.27089115856899,4.581155899156343,8.994551211287593
Pongamia_Pinnata_(P9),87049.0,2214.7200923033934,1.1666666631944445,0.22301596766360365,0.017747046821042407,0.9319322962847332,0.7411471224374258,2.190765583603718,3.462528581966267,4.769975994673741,9.797233079533148,-6.778153890121755,8.889524660408993
Pongamia_Pinnata_(P9),97271.0,2430.999312916972,1.6944444385609567,0.2068347818094199,0.016459388964151406,0.920133567919858,0.7426917792451816,2.1530404665708756,5.511103082670316,6.474140332855533,12.513184037515419,7.881297937058313,12.824574938899813
Pongamia_Pinnata_(P9),65404.0,1791.6946596652276,1.3529411714965398,0.25602724054456477,0.020374000449422603,0.9207810674083038,0.7698486925704042,2.68952910211723,3.3446964613128944,4.869018390214654,8.976059614677173,6.214874364155497,10.512173650489354
Pongamia_Pinnata_(P9),81437.0,2188.797256769669,1.071428568239796,0.21360949788979824,0.01699850374026959,0.914837448595623,0.7772897590921217,3.5656172102916317,3.1784534214575393,6.227246370441284,-11.339637092027843,-8.362508279859403,10.965815521942616
Pongamia_Pinnata_(P9),78327.0,2058.0571413994912,1.6174242362976354,0.23238414809081692,0.018492542932426272,0.9200004698146539,0.7461300058266644,2.1986217458043633,4.301488619299072,5.520384071230406,10.615003393322892,7.018990720251392,10.553068784935714
Pongamia_Pinnata_(P9),84528.0,2187.2348109291547,1.3301282008649737,0.22203407968132882,0.01766891065807162,0.9177351935191604,0.7480971787376691,2.4118232802812485,3.0417453315383676,4.238086379920912,7.9878130012964474,5.6496636339182045,8.07865343560916
Pongamia_Pinnata_(P9),80149.0,2204.903858487467,1.6176470528762976,0.2071708544479423,0.016486132774980795,0.9251662203236084,0.746173799327968,2.193703057921049,4.075587888083627,5.138751699354311,9.75197411402782,6.267361118321333,-10.526346193429989
Pongamia_Pinnata_(P9),54931.0,1877.464212286928,1.7037036958161866,0.1958321692206475,0.015583828873937285,0.9062128810725516,0.7137019792594252,1.949829604814127,4.474887278965307,5.336718023898685,10.242896880949951,6.316126244664496,-11.623373269707088
Pongamia_Pinnata_(P9),86838.0,2339.7089450151,2.199999990833333,0.19934071224124683,0.01586302985632676,0.9235137721905402,0.6829112306095391,1.7639376378468394,3.853389316927804,4.9229592347745115,9.993714678651665,-6.913791287993239,9.320708353153561
Pongamia_Pinnata_(P9),85771.0,2467.7749621930825,1.368421048130194,0.17698612890445145,0.014084108636921411,0.9309274434153045,0.778896843635807,2.780354248573774,3.8982273409771393,5.400888227999504,10.058880741675013,6.813747284582083,10.759991312031117
Pongamia_Pinnata_(P9),55497.0,1809.150503787943,1.2499999951171876,0.21307376319575527,0.016955871327898206,0.9078075670929316,0.7714730787240551,2.792434432229084,3.3230811112757803,4.879255975255033,9.068476170007683,6.45182925553926,9.218973102462447
Pongamia_Pinnata_(P9),26765.0,1238.5676759431467,1.1739130370982986,0.21924900366535968,0.017447281350657536,0.89833523525212,0.7698608035899371,2.5232216837480816,4.865542738494644,6.806030625571714,-13.06300698683052,-8.188806223444873,-12.67551808883407
Pongamia_Pinnata_(P9),59626.0,1709.818505325729,1.346774188117846,0.256298174859563,0.020395560717165195,0.929593713932687,0.776921511052263,2.6235462120065285,4.704801145689913,6.167355137791314,11.603731430857183,7.479869774375281,13.034741123913667
Pongamia_Pinnata_(P9),93306.0,2449.183079101045,1.4615384568540435,0.19546856970558651,0.015554894543873399,0.9280485378861345,0.7637459182818678,2.4350695002416614,3.937351879506818,5.377933349537987,10.261477481814543,7.101621450645251,-10.130239101576604
Pongamia_Pinnata_(P9),108567.0,2552.3079707820734,1.3111111074691357,0.20943128033806557,0.0166660117519338,0.9212460118040082,0.7732332040952852,2.616215402370048,4.970672245338919,6.603692277634485,-12.535149486984636,-8.396577749384779,-12.547814222940898
Pongamia_Pinnata_(P9),95314.0,2269.9515857022197,1.5675675622717313,0.23245204474438783,0.018497945976443875,0.9395355255802034,0.7512439284520187,2.226222979946525,5.900734493158774,7.578302330389328,-14.317908227384997,-8.692664889816959,-16.015274292967803
Pongamia_Pinnata_(P9),59554.0,1762.878425849301,1.1142857103061226,0.2408108634088201,0.019163119630870473,0.9232033236044646,0.7847732104446627,2.898289332581559,4.49242692498658,6.3180046358891,12.626378963430746,8.584410982915438,-11.726639040510856
Pongamia_Pinnata_(P9),66224.0,2004.695705685754,1.4545454490358127,0.20707532562266187,0.016478530832605226,0.9195861973072335,0.7461025991156114,2.188342960673676,4.638871579348427,5.455033536489196,10.509239933210075,6.574060919317693,-11.243696125099056
Pongamia_Pinnata_(P9),70594.0,1983.3698038779494,1.499999994140625,0.22551231367750266,0.017945699724932294,0.9182362122669325,0.7378941280278186,2.1177193179933256,4.203974592934677,5.0341427496728715,9.66491442711864,6.114716144618104,10.29307457182484
Pongamia_Pinnata_(P9),106103.0,2388.0998179803605,1.48780487351279,0.23379357746224794,0.018604701758127347,0.9275062065026094,0.7597436414953015,2.4527915627636934,3.3741841079398633,4.677687516563205,8.78311692416953,6.080641091990335,8.960370018313892
